seed,scenario,max_error_m,rmse_m,final_error_m,attitude_max_deg,lidar_local_max_m,lidar_local_rmse_m,lidar_global_max_m,lidar_acceptance,verified_loops,switches,final_lane,max_switch_jump_m,degraded_duration_s,rtl_requested,path_safe,min_clearance_m,navigation_pass,selector_pass,pass
0,nominal,0.02139458660892865,0.00901482111541915,0.0162273994853956,0.8116872836471611,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,vio_outage,0.025396990787135025,0.009963767169935751,0.01621661407654035,0.8116872836471611,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,lidar_degraded,0.02146260937789298,0.00908460067648532,0.016242978805535924,0.8088835891461751,0.09109326808105213,0.03234291312101983,0.09109326808105213,0.8338368580060423,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,range_outage,0.02139471377202745,0.009283444650974354,0.01622784304706915,0.8116872836471611,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,baro_drift,0.02150478936500587,0.009371727233529826,0.016246864952202882,0.8116872836471611,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,primary_imu_bias,0.057966436172792665,0.010128309561769093,0.017177055998001418,1.2970825630491933,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,1,2,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,primary_imu_freeze,0.05457702777368923,0.010007512668907939,0.017177055998001418,1.9273031770781301,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,1,2,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,backup_imu_bias,0.02139458660892865,0.00901482111541915,0.0162273994853956,0.8116872836471611,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,primary_imu_plus_vio,0.0947150047428828,0.013459559199593216,0.01718613328562459,1.633026936442996,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,1,2,0.0,0.0,False,True,0.6247610040909329,True,True,True
0,all_xy_outage,0.45905106478333346,0.07305868721416145,0.0162373908606349,0.8116872836471611,0.447569653263741,0.07600274769282027,0.447569653263741,0.8338368580060423,0,0,1,0.0,9.065,True,True,0.6247610040909329,False,True,True
