seed,scenario,max_error_m,rmse_m,final_error_m,attitude_max_deg,lidar_local_max_m,lidar_local_rmse_m,lidar_global_max_m,lidar_acceptance,verified_loops,switches,final_lane,max_switch_jump_m,degraded_duration_s,rtl_requested,path_safe,min_clearance_m,navigation_pass,selector_pass,pass
0,nominal,0.02139458660892865,0.00901482111541915,0.0162273994853956,0.8116872836471611,0.09109326808105213,0.035193988765475,0.09109326808105213,1.0,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
1,nominal,0.01526109262266927,0.006139577828956687,0.008196417306928282,0.7396611033434378,0.10787274087784318,0.03708032711441892,0.10787274087784318,0.9939577039274925,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
2,nominal,0.014046329881555247,0.00703928949350065,0.009876654477146552,0.9138859329152692,0.07525983674287136,0.035701852261492126,0.07525983674287136,0.9969788519637462,0,0,1,0.0,0.0,False,True,0.6247610040909329,True,True,True
